2022-05-19 18:05:645 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:695 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (07e3f6f7ab6a3e41d25a8fff5c5bf80b)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:883 INFO  SelectNationalityPage :28 - Selecting nationality Australia from dropdown [[ChromeDriver: chrome on WINDOWS (07e3f6f7ab6a3e41d25a8fff5c5bf80b)] -> xpath: //select[@id='response']]
2022-05-19 18:05:563 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (07e3f6f7ab6a3e41d25a8fff5c5bf80b)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:752 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (07e3f6f7ab6a3e41d25a8fff5c5bf80b)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:774 INFO  ResultPage :24 - Clicking on resultMessage Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 18:05:937 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:333 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (51e584e4b3a37d6176cc47cdb6e05c1f)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:398 INFO  SelectNationalityPage :28 - Selecting nationality Australia from dropdown [[ChromeDriver: chrome on WINDOWS (51e584e4b3a37d6176cc47cdb6e05c1f)] -> xpath: //select[@id='response']]
2022-05-19 18:05:269 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (51e584e4b3a37d6176cc47cdb6e05c1f)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:395 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (51e584e4b3a37d6176cc47cdb6e05c1f)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:425 INFO  ResultPage :24 - Clicking on resultMessage [[ChromeDriver: chrome on WINDOWS (51e584e4b3a37d6176cc47cdb6e05c1f)] -> xpath: //div[@id='result-info']//div[2]/h2]
2022-05-19 18:05:452 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:946 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:27 INFO  SelectNationalityPage :28 - Selecting nationality Chile from dropdown [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //select[@id='response']]
2022-05-19 18:05:997 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:478 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:544 INFO  DurationOfStayPage :44 - Selecting option longer than 6 months from dropdown [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //input[@id='response-1']]
2022-05-19 18:05:778 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:662 INFO  WorkTypePage :65 - Selecting job Health and care professional from dropdown [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //input[@id='response-0']]
2022-05-19 18:05:03 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:21 INFO  ResultPage :24 - Clicking on resultMessage [[ChromeDriver: chrome on WINDOWS (6aa4ee8c290c1bcf644483291d6b722e)] -> xpath: //div[@id='result-info']//div[2]/h2]
2022-05-19 18:05:861 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:241 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (2d03e76ac13e87fae532003c4f3f5620)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
